name_store,description,mobile,address,city,district,country,google_map
Cent Beauty Trần Duy Hưng,,,Số 8 Ngõ 100 Trần Duy Hưng,Hà Nội,Cầu Giấy,VN,https://goo.gl/maps/kbhbSXgFyP5VF1pQ8
Cent Beauty Võ Văn Dũng,,,Số 1 ngõ 18 Võ Văn Dũng,Hà Nội,Đống Đa,VN,https://goo.gl/maps/mA3piftC8AKU1A8X8
Cent Beauty Nguyễn Văn Huyên,,,55 Nguyễn Văn Huyên,Hà Nội,Cầu Giấy,VN,https://goo.gl/maps/2Ag86fucwgjN5kQw9
SG - Cent Beauty Q3,,,382/35 Nguyễn Thị Minh Khai,TP Hồ Chí Minh,Quận 3,VN,https://g.page/bidabaobinh?share
Cent Beauty Corner,,,Số 8 Ngõ 100 Trần Duy Hưng,Hà Nội,Cầu Giấy,VN,https://goo.gl/maps/kbhbSXgFyP5VF1pQ8
Cent Beauty - Minh Khai,,,41 Minh Khai, Hai Bà Trưng, Hà Nội, Việt Nam,
